title,writer,pony,dialog
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Yeah, we need to go try new stuff like we used to!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Exactly.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Like square dancing!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,cutie mark crusaders,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"And the more things we try, the more chances we'll have to finally get our cutie marks! Come on!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Um... Apple Bloom?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Wow... Did we really only ever do things just to get our cutie marks?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,I don't know. Maybe?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Aw, come on! We did lots of stuff that didn't have anything to do with getting a cutie mark."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Of course we did!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Absolutely!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Huh. So now that we don't have to do stuff to get our cutie marks, what is it that the Cutie Mark Crusaders actually do?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,We do exactly what we got our cutie marks in!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,cutie mark crusaders,Helping other ponies!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Ponies without cutie marks!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Or ponies who've forgotten their special purpose!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Exactly! We just have to find ponies who need our help! Come on!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,But are you sure you feel content?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,big mcintosh,Eeyup.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Not even a tinge of dissatisfaction?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,big mcintosh,Nnnope.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Not even the slightest naggin' sensation that you don't really know what your purpose is in life or why you have a big apple as a cutie mark?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,big mcintosh,[grunts] [spits] [annoyed] Nnnope.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,The important thing to remember is that there is no rush.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"The three of us tried for the longest time, but it just comes when it comes!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,And it's totally normal to feel confused and maybe even a little lost. But being a blank flank is nothing to be ashamed of.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,So if you're having even the slightest problem...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,...or concerns or questions...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,...we want you to know that we are here to help.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,mrs. cake,Mrs. I... don't think they're too worried about it yet.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,This is gonna be a lot harder than I thought.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Who knew there were so few ponies worried about their cutie marks?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Kinda makes you wonder why we made such a big deal out of it for so long.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,What?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"The point is, helpin' ponies with cutie mark problems is what makes us special."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,But if we can't find anypony with a problem...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,...Maybe we're not special.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,"Yeah! I know exactly what you mean. You can't find a cutie mark problem. I have a cutie mark problem. It's so confusing, and I feel like the solution is staring me right in the muzzle."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,What?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,I see why you guys hang out here! It's cozy!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"[straining] The Crusader Clubhouse is a safe place, Mr... um... Bulk."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,A place where we faced all kinds of cutie mark problems!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,A place where we'll go on to solve even more! Startin' with yours!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,No matter how long it takes!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Or how hard it is!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,We'll solve it because that's what we do!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,So... what's your cutie mark problem?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,"Oh, right. Uh, well, my cutie mark is a dumbbell, but I've lifted every dumbbell in Ponyville!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,[nervously] Have you tried lifting other things?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,"You mean, not dumbbells?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,Oof! I mean... no. I hadn't thought of that. You guys are awesome!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,But... what happens when I run out of other stuff?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,...I guess you could teach other ponies to lift things?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Yeah!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,bulk biceps,"Yeah! Wow, you three really have a knack for this!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,That was easy!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Maybe too easy.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,What do you mean?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Well, it's lookin' like cutie mark problems are few and far between."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,And...?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,And what if we never find another one?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Well...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"And even if we do, we could solve it so quick, it'll be like it never happened in the first place!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,So...?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,So... then the Cutie Mark Crusaders don't have any reason to exist!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,The problem boils down to this <U+0096> we don't need to go out and do things anymore to get our cutie marks.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Right! And<U+0097>
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Ponies with cutie mark problems are hard to find.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Exactly. But even when we find problems, we're so good at solvin' them that most of the time there's nothin' for the Cutie Mark Crusaders to do. So..."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,I thought we should start figurin' out ways to search all of Equestria for cutie mark problems!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,That kinda seems like a lot.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,I don't think Rarity would let me travel to the far reaches of Equestria looking for cutie mark problems.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Yeah, I'm sure we'll come across them in Ponyville. And when we do, we'll totally solve them because we are so awesome at it!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,But... what do we do until then?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Maybe whatever we want?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,What do you mean?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Well, we used to only do stuff to get our cutie marks or fulfill our destiny, but now we don't have to."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,So... we can do things just for fun? Are you girls thinkin' what I'm thinkin'?!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Just remember <U+0096> stomp, kick, and roll! After this, you two are gonna love scootering as much as me!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,If you say so.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Ready? Stomp, kick, and roll! Whooo!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Ta-da!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,[nervous laugh] I don't think I did it right.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,[blows pitch pipe] Do... Mi... So... It's just a simple harmony.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Harmony, huh?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"[tapping with baton] And a-one, and a-two, and a-one two three!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Wow, that was simple!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"It's just a dash, and a drop, and a drip!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Just a dash, and a drop, and a drip!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,...and even though Scootaloo thinks bungee jumping is the bee's knees...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,...Sweetie Belle would rather keep bees.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"[spits] Of course, I'm allergic. Who'd've thought it'd be so hard to find somethin' for us all to do together?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Well, I know this might sound crazy, but what if we didn't?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Didn't what?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Do things together. Well, do everything together."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,But we're the Cutie Mark Crusaders!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"And we always will be! But I really wanna bungee jump! The speed, the height, the fall!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"And I know you two aren't interested, but I wanna try crochet."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Isn't there something you've always wanted to do on your own?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,I don't know... I guess I figured we'd always do stuff together. But bungee jumping sounds just as scary as crochet sounds borin'.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"That's okay. Sweetie Belle and I can do the things we like, and you can do whatever you like!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Just as soon as you figure out what it is.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,I guess...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Great! Then we can meet back here and talk all about what we've done!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,But I don't know what it'll be.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,You'll find something!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Something awesome!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,[sighs] Well... I guess now I have to.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,I never imagined myself out on my own Tryin' to find out what's next for me The Cutie Mark Crusaders have always been my home Maybe now there's more that I could be
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Whatever kind of dancin' y'all are doin', you're doin' it together, and I want in! [beat] I-I mean, uh, [clears throat] Would it be okay if I enrolled in this dance class?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,That sounds an awful lot like friendship! And I'm ready for anything I don't have to do by myself!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Whooooooa!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Whoa, whoaaa!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Whew! I feel like that went pretty good, but let's give it one more whirl, because it's important that I do a good job partnering with my new group of friends."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"I'm sorry, but doin' stuff on my own is exactly what I don't want."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Tryin' different things with my friends is always fun, even when we were terrible. Now it's just terrible."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"[sighs] Thanks, but... without my friends, I don't think I'll ever feel again. Good luck at the recital."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"[deadpan] Yeah, okay. Nice meetin' you."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Sweetie Belle! You are not gonna believe this, but I think I like bungee jumping even more than scootering!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Seriously?! That's amazing! Look what I did!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Wow, uh, that's, um..."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Horrible! But it was so much fun! Rarity showed me how, even though she says [imitating Rarity] ""Crochet is knitting's poorer cousin"", [normal] but I loved it!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Awesome!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Oh, hello, girls. Have fun pursuing your own interests?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,Apple Bloom? What are you doing sitting in the dark?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Yeah, we thought you'd be out looking for things you like to do."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,[laughs] I did. I looked all over town. I looked... and I looked... and I looked... and you know what I found? Nothin'!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,You tried every one of these?
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,And each one just made me feel more alone than the next! I don't see how I'm supposed to be happy that we're not hanging out anymore!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"Wait, I never said that. I just said we don't have to do everything together."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Like when there's something one of us wants to do that the others don't.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Oh. [beat] Well, I guess that changes things."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,I can't believe you thought we didn't want to hang out anymore.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,I can't believe you tried all this stuff and didn't find one thing you liked!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Well, I kind of liked dancin', mainly because it looked like somethin' you couldn't do alone, but... I wasn't very good at it."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Well, you don't have to be good at something to have fun!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,And being good doesn't always mean you will.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"I know... I met the best dancer in the world, but he was so shy, he couldn't bring himself to perform, even though he really, really wanted to."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"I don't suppose this dancing pony had a cutie mark, did he?"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,You're here!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"You told me that you wanted to perform more than anythin', but I was too caught up in myself to listen. You're the best dancer I've ever seen, and I'm here to convince you to get out on that stage!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"We can go on together! No matter what, you'll look good dancin' next to me."
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Leave everything to us.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"Don't worry, you'll be just fine!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Here goes nothin'...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,Can't be any worse than I was!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,No problem!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,It's what we do.
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,I only wish I'd realized what you needed right away instead of mopin' around for no reason...
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"[taps] You know, I just might! It sure is a lot of fun, and I'm pretty confident I can only get better. [to the Crusaders] I'm sorry I was so silly about us all doin' our own things. If we hadn't, I might never even have tried dancin'!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,"With each of us going out and trying things on our own, we'll be three times as likely to find ponies to help!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,scootaloo,"And trying new stuff might even make us better at helping them, like how I used my bungee jumping to change the sets!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,sweetie belle,Or my crochet to make the costumes!
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,apple bloom,"Well, one thing is for sure. The Cutie Mark Crusaders will never be the same. We'll be better!"
On Your Marks,Dave Polsky & Josh Haber; story by Dave Polsky,cutie mark crusaders,Yeah!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"[hushed] The last time I was here, I woke them and ended up with a mane full of bats! [sighs] Thanks for being my basket holder, Spike."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Basket holder? I thought I was your bodyguard.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"[hushed] What? Oh, heh, yes, yes, that of course, too. Oh, for once I wish unicorn magic wasn't so... luminescent!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,[hushed] Spike! You'll wake the bats! Turn that off!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,I'm so glad you two could come!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess luna,Of course. We so rarely get a chance to relax and just visit.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess celestia,There's usually some crisis we have to deal with. Somepony always needs our help. But today<U+0097>
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"[muffled, wailing] Help!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,Twilight! There's something wrong with Spike!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,What's wrong?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"[grunts] I don't know! Nngh! All of a sudden, my scales just started glowing and... burning!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess luna,"Little is known about dragon culture, but this is a phenomenon we've seen before. It is the call of the Dragon Lord."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess celestia,Dragons glow whenever the Dragon Lord has need of them in the Dragon Lands.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Great... H-How do I make it stop?!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess luna,The only way to end the summons is to answer it. You must journey to the Dragon Lands and see what is expected of you.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"B-B-But the Dragon Lands are full of... dragons! And they're ghastly creatures! [beat] Oh, oh, not you, of course, Spikey-wikey. But remember that rotten Garble?"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"[gulps] How could I forget? He would have burnt us to a crisp if you weren't there. If I have to go to the Dragon Lands, would you two come with me?"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"Ooh! Oh my goodness, I'd love to! We are sadly lacking any information on dragon culture and customs. I could research them <U+0096> maybe even write an article! This could be my chance to make a great contribution to the knowledge of Equestria! [beat] And be there for Spike, heh, of course."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess celestia,Be very careful. The Dragon Lands are particularly dangerous for ponies. It would be wise to be discreet.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,I think we might want something a little more practical this time.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"Hmmm... Well, it may be practical, but this disguise isn't flattering in the slightest!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,[hushed] It's not supposed to be flattering. It's supposed to blend in!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Shh!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"Hey-hey, look! It's our old friend Sparkle-warkle."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,It's Spike.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,Are you sure your pony friends didn't give you a pony name?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"It's nice to see you too, Garble."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,I didn't say it was nice to see you. It's not. I don't like you. Was I not clear about that?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Hey! That's my rock!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"Oh, really? Then why aren't you sitting on it?"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Who is that?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"It's Dragon Lord Torch, dummy."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"No, next to him."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"That's his daughter, Princess Ember. I wouldn't even look at her if I were you, unless you want Torch to eat you!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"[hushed] This is fascinating! Dragons are notoriously reckless, but they do whatever the Dragon Lord says!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"[hushed] When the scepter disappeared, the dragons stopped glowing! We are learning so much!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"Uh, excuse me!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"Ugh, you even sneeze like a pony!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"I don't want to be Dragon Lord or dragon toast, and I stopped glowing, so let's sneak out of here!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"Oh, uh, hi, your Lordship. Uh, I was just going home!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,"Dad, look at him. He's just a runt. Besides, he doesn't even wanna compete. Let him go."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"Of course, your Lordship! I, uh, guess I don't understand dragon customs. Another reason why I shouldn't compete."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,Thank you! [to Ember] And thank you.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,To prepare for the Gauntlet.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,But I'm smarter than most of these boulderheads and you know it!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,[growls] I hate when he does that!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,"That's nothing! When I'm in charge, the first thing I'll do is get revenge on those puny ponies! They'll regret they ever crossed Garble! We'll take whatever we want from Equestria and burn the rest!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"[hushed] Oh, my gosh!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"[hushed] Ooh, I can't believe I'm saying this, but I hope that burping dragon wins!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,None of them can win! Equestria's in big trouble if any of them are in charge!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,But what can we do?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"There's only one thing to do, and only I can do it! I have to win the Gauntlet of Fire!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,What do you mean you have to win the Gauntlet?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"It's the only way to protect Equestria from the dragons. You heard them! They have horrible plans for ponies if they win! So somehow, I have to do it!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"There has to be another way. It's too dangerous. Besides, if you win, you'd have to stay here!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"I know, but there's no other way to keep my friends safe."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,"Well, if you're staying to compete, then we're staying to cheer you on!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"I decided to compete. I am a dragon, after all."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,Are you sure? You can't even fly!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,garble,Good luck! Just kidding. I hope you lose.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"[gasps] [sarcastically] Thanks, Garble! I was planning on swimming anyway!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,"You can do it, Spike!"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,He's gonna drown!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,twilight sparkle,Spike!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"Hey, are you okay?"
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,[gasps] Princess Ember!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,What do you think you're doing?
Gauntlet of Fire,Joanna Lewis & Kristine Songco,rarity,Only saving your ungrateful scales!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,Did that seaweed just talk? Ponies?! What are they doing here?!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,They're my friends!
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,Friends? Dragons don't do friends.
Gauntlet of Fire,Joanna Lewis & Kristine Songco,spike,"Well, this dragon does."
Gauntlet of Fire,Joanna Lewis & Kristine Songco,princess ember,Whatever. I don't care as long as none of you get in my way. I have a Gauntlet to win.
